English,German,Spanish,French,Italian,Português,,,,,,
Shop,Shoppen,Tienda,Acheter,Shop,Comprar,,,,,,
Kudos,Monats-Angebot,¡Promociones!,Kudos,Promozione Clienti!,Kudos,,,,,,
Skincare,Hautpflege,Cuidado De La Piel,Soins De La Peau,Cura Della Pelle,Cuidados Da Pele,,,,,,
Makeup,Make-Up,Maquillaje,Maquillage,Make-Up,Maquilhagem,,,,,,
More,Mehr,Más,Plus,Di Più,Mais,,,,,,
Looks,Looks,Looks,Looks ,Look,Visual,,,,,,
Eyes,Augen,Ojos,Les Yeux,Occhi,Olhos,,,,,,
Lash Enhancer,Wimpernverlängerung,Pestañas,Amplificateur De Cils,Potenziatore Di Ciglia,Intensificador De Pestanas,,,,,,
Brow,Augenbrauen,Cejas,Sourcils,Sopracciglia,Sobrancelhas,,,,,,
Eyeliner,Kajalstift,Delineadores De Ojos,Eyeliner,Eyeliner,Delineador De Olhos,,,,,,
Eye Shadow,Lidschatten,Sombras De Ojos,Ombre À Paupières,Ombretto,Sombra De Olhos,,,,,,
Eye Primer,Augen Make-Up Grundierung,Prebase Para Ojos,Base Pour Les Yeux,Primer Occhi,Primer Para Olhos,,,,,,
Palettes,Paletten,Paletas,Palettes Remplissables,Palette,Paletas,,,,,,
Lash Sets,Wimpern-Sets,Sets De Pestañas,Ensembles Pour Les Cils,Set Per Ciglia,Conjuntos Para Pestanas,,,,,,
Lips,Lippen,Labios,Lèvres,Labbra,Lábios,,,,,,
Lipstick,Lippenstift,Barras De Labios,Rouge A Levres,Rossetto,Batom,,,,,,
Lip Gloss,Lipgloss,Brillo Labial,Brillant A Levres,Lucrative,Brilho De Lábios,,,,,,
Lip Care,Lippenpflege,Cuidado De Los Labios,Soin Des Levres,Cura Delle Labbra,Cuidados Dos Lábios,,,,,,
Lip Liner,Lippenkonturenstift,Delineadores De Labios,Crayon Contour Des Levres,Matita Contorno Labbra,Delineador De Lábios,,,,,,
Lip Stain,Lipstain,Tinta Labial,Stiff Upper Lip,Tinta Per Labbra,Marcador De Lábios,,,,,,
Face,Gesicht,Rostro,Visage,Viso,Rosto,,,,,,
Foundation,Foundation,Bases,Fond De Teint Et Poudre,Fondotinta,Base,,,,,,
Bb Cream,Bb Cream,Bb Cream,Creme Bb,Crema Bb,Creme Bb,,,,,,
Highlight & Contour,Highlights & Konturen,Iluminación Y Contorno,Illuminateur Et Contour,Schiarenti E Contour,Iluminação & Contorno,,,,,,
Primer,Primer,Prebase,Base,Primer,Primer,,,,,,
Bronzer & Blusher,Bronzing-Puder & Rouge,Bronceador Y Rubor/Colorete,Bronzant Et Fard A Joues,Bronze E Blush,Bronzer & Blush,,,,,,
Setting,Fixier,Fijador,Fixation,Fissante,Fixador,,,,,,
Concealer,Concealer,Correctores,Correcteur,Correttore,Corrector,,,,,,
Skincare,Hautpflege,Cuidado De La Piel,Soins De La Peau,Cura Della Pelle,Cuidados Da Pele,,,,,,
Cleanse,Reinigend,Limpiar,Nettoyez,Detergere,Limpeza,,,,,,
Mask,Maske,Mascarilla,Masque,Maschera,Máscara,,,,,,
Moisturize,Feuchtigkeitsspendend,Hidratar,Hydratez,Idratare,Hidratação,,,,,,
Toners,Hautstraffend,Tono,Raffermissez,Tonalità,Tonificação,,,,,,
Treat,Pflegend,Tratar,Traitez,Trattamento,Tratamento,,,,,,
Fragrance,Düfte,Fragancia,Fragrance,Fragranza,Fragrâncias,,,,,,
Signature Scents,Unverkennbare Düfte,Historias Con Aromas,Senteurs Signatures,Firme Profumate,Aroma Distinto,,,,,,
Roller Ball,Roll-On-Düfte,"Fragancias ""Roll On""",,,,,,,,,
Fragrance Set,3Er-Duftset,Set De 3 Fragancias,Ensemble De Trois Eaux De Toilette,Set Di 3 Fragranze,,,,,,,
Tools,Make-Up Zubehör,Accesorios,Accessoires,Strumenti,Acessórios,,,,,,
Eye Brushes,Augenpinsel,Pinceles Para Los Ojos,Pinceaux Pour Les Yeux,Pennelli Occhi,Pincéis Para Os Olhos,,,,,,
Lip Brushes,Lippen-Pinsel,Pincel Para Labios,Pinceau Pour Les Lèvres,Pennello Labbra,Pincéis Para Os Lábios,,,,,,
Face Brushes,Gesichtspinsel,Brochas Para El Rostro,Pinceaux Pour Le Visage,Pennelli Viso,Pincéis Para O Rosto,,,,,,
Fillable Palettes,Fillable Paletten,Paletas Rellenables,Palettes Remplissables,Palette Rigenerabili,Paletas Recarregáveis,,,,,,
Sponges And Applicators,Make-Up Applikator,Esponjas Y Aplicadores,Éponges Et Applicateurs,Spugnette E Applicatori,Esponjas E Aplicadores,,,,,,
Collections & Sets,Kollektionen & Sets,Colecciones Y Sets,Collections Et Ensembles,Collection E Set,Coleções E Conjuntos,,,,,,
Collections,Kollektionen,Colecciones,Collections,Collection,Coleções,,,,,,
Face Sets,Gesicht-Sets,Sets Del Rostro,Ensembles Pour Le Visage,Set Viso,Conjuntos Para O Rosto,,,,,,
Lip Sets,Lippen-Sets,Sets De Labios,Ensembles Pour Les Lèvres,Set Per Labbra,Conjuntos Para Os Lábios,,,,,,
Eye Sets,Augen-Sets,Sets De Ojos,Ensembles Pour Les Yeux,Set Per Occhi,Conjuntos Para Os Olhos,,,,,,
Brush Sets,Pinsel-Sets,Sets De Brochas,Ensembles De Pinceaux,Set Pennelli,Conjunto De Pincéis,,,,,,
Other,Sonstige,Otros,Autres,Altro,Outro,,,,,,
Younique Prestige,Younique Prestige,Younique Prestige,Younique Prestige,Younique Prestige,Younique Prestige ,,,,,,
Browse Looks,Looks entdecken,Buscar looks,Parcourir les looks,Visualizza i look,Procurar visuais,,,,,,
Upload a Look,Look hochladen,Subir look,Téléchargez un Look,Carica un look,Enviar um visual,,,,,,
Looks I've Created,Meine Looks,Looks que he creado,Looks de ma création,I look che ho creato,Visuais que criei,,,,,,
Looks I've Loved,Looks die ich mag,Looks que me encantan ,Looks que j'aime,I look che più amo,Visuais que amei,,,,,,
Booster Bundle,Booster-Set,Set de refuerzo,Ensemble boosters,Set Booster,Conjunto de intensificadores,,,,,,
Community,Gemeinschaft,Comunidad,Communauté,Comunità,Comunidade,,,,,,
Looks,Looks,Looks,Looks  ,Look,Visuais,,,,,,
Join,Registrieren,Únete,S'inscrire,Unisciti a noi,INSCREVER,,,,,,
Join Now,Jetzt beitreten,Únete Ahora,S'inscrire maintenant,Unisciti subito,Inscreve-te já!,,,,,,
Find a Sponsor,Sponsor finden,Busca Patrocinadoras,Trouver une marraine,Trova uno sponsor,Procurar uma Patrocinadora,,,,,,
Presenter Kit,Starter-Set,Kit de Presentadoras,Kit de la Présentatrice,Kit per Consulenti,Kit de Apresentadora,,,,,,
Register,Jetzt registrieren,Inscríbete,Inscription,Registrati,Inscrever,,,,,,
Incentive Trip,Incentive-Reise,Viaje de incentivo,Voyage de Récompense,Viaggio incentivo,Viagem de Incentivo 2018,,,,,,
Rising Stars,Top-Scorer,Estrellas prometedoras,Stars montantes,Stelle nascenti,Estrelas em ascensão,,,,,,
Triple Digits Club,999 Club,Club Triple Dígito,RAFFERMISSEZ,Club delle Tre Cifre,Clube Três Dígitos,,,,,,
Party,Party,Reunión,Réception,Festa,Party,,,,,,
What is a Party?,Was ist eine Party?,¿Qué es una reunión?,Qu'est qu'une réception ?,Cos'é una riunione?,O que é uma Virtual Party?,,,,,,
My Parties,Meine Partys,Mis reuniones,Mes réceptions,Le mie riunioni,Minhas Virtual Parties,,,,,,
Schedule a New Party,Eine Neue Party ansetzen,Programar una nueva reunión,Planifier une nouvelle réunion,Programma una nuova riunione,Agendar uma nova Party,,,,,,
Find a Presenter,Repräsentant(in) finden,Buscar una presentadora,Trouver une Présentatrice,Trova una Consulente,Procurar uma Apresentadora,,,,,,
About,Über,Acerca de,À propos ,Riguardo,Quem Somos,,,,,,
About Younique,Über Younique,Acerca de Younique,À propos de Younique,Informazioni su Younique,Sobre a Younique,,,,,,
Meet the Founders,Lerne die Gründer kennen,Conoce a los fundadores,Rencontrer les fondateurs,I Fondatori dell'azienda,Conhecer os fundadores,,,,,,
Contact Us,Kontaktiere uns,Contacta con nosotros,Nous contacter,"Contattaci
",Contactar-nos,,,,,,
Careers,"Karriere
",Trabaja con nosotros,"Carrières
","Lavora con noi
","Trabalhar conosco
",,,,,,
Press,Presse,Prensa,Presse,Stampa,Imprensa,,,,,,
Help,Hilfe,Ayuda,Assistance,Aiuto,Ajuda,,,,,,
Support,Support,Apoyo,Support,Supporto,Apoio ao Cliente,,,,,,
Market,Markt,Mercado,Marché,Mercato,País,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Explore Younique,Younique Erforschen,Descubre Younique,Explorer Younique,Esplora Younique,Descubra Younique,,,,,,
Shop,Shoppen,Tienda,Acheter,Shop,Comprar,,,,,,
Join,Registrieren,Únete,S'inscrire,Registrati,inscrever,,,,,,
Party,Party,Reunión,Réception,Riunione,Party,,,,,,
Careers,Karriere,Trabaja con nosotros,Carrières,Opportunità di lavoro,Trabalha conosco,,,,,,
Younique Looks,Younique Looks,Looks Younique,Looks Younique,Look Younique,Visuais Younique,,,,,,
About Younique,Über Younique,Acerca De Younique,À Propos De Younique,A Proposito Di Younique,Sobre A Younique,,,,,,
Monthly Kudos,Monats-Angebot,Promociones mensuales,Kudos du mois,Promozione Mensile Clienti del mese,Kudos Mensais para Clientes,,,,,,
About Younique,Über Younique,Acerca de Younique,À propos de Younique,A proposito di Younique,Sobre a Younique,,,,,,
Rising Stars,Top-Scorer,Estrellas prometedoras,Stars montantes,Stelle nascenti,Rising Stars,,,,,,
Triple Digits Club,999 Club,Club Triple Dígito,Club des trois chiffres,Club delle Tre Cifre,Clube Três Dígitos,,,,,,
Meet The Founders,Lerne die Gründer kennen,Conoce a los fundadores,Rencontrez les fondateurs,Conosci i fondatori,Conheça os Fundadores,,,,,,
Counterfeit Education,Schulungsunterlagen zu Produktfälschungen,Información para Proteger la Marca,Éducation à la contrefaçon,Educazione sulla contraffazione,Informações sobre Falsificação,,,,,,
Help and FAQs,Hilfe Und FAQs,Asistencia Y Preguntas Frecuentes,Assistance Et FAQ,Assistenza E Domande E Risposte,Ajuda E Perguntas Frequentes,,,,,,
Customer Support,Support-Team,Atención al cliente,Support,Assistenza Clienti,Serviço de Apoio ao Cliente,,,,,,
Prestige Terms and Conditions,Nutzungsbedingungen und Richtlinien - Younique Prestige,Términos y Condiciones de YOUNIQUE PRESTIGE,Termes et conditions Prestige,Termini e condizioni di Prestige,Termos e Condições do Programa Younique Prestige,,,,,,
Privacy Policy,Datenschutzrichtlinie,Política De Privacidad,politique de confidentialité,Politica sulla privacy,Política de Privacidade,,,,,,
Backorder Policy,Lieferrückstand Richtlinien,Política De Agotados,Politique de réapprovisionnement,Politica sugli articoli inevasi,Política de Produtos em espera,,,,,,
Catalog Download,Katalog - Download,Descarga Del Catálogo,Téléchargement du catalogue,Download del catalogo,Fazer download do catálogo,,,,,,
The Love It Guarantee,"Die Younique ""Love It Guarantee""",La Garantía Love It de Younique,La garantie Love It,La Younique Love It Guarantee,Garantia Love It Guarantee da Younique,,,,,,
CONNECT WITH YOUNIQUE,Younique in den sozialen Medien,Contacta a Younique,Connectez-Vous Avec Younique,Collegati Con Younique,Conecta com a Younique,,,,,,
"We are proud to be a member of the Direct Selling Association. For more information, click here.","Wir sind stolz, ein Mitglied der Direct Selling Association zu sein. Klicke hier für mehr Informationen.","Estamos orgullosos de ser miembro de la Direct Selling Association (asociación de venta directa). Para obtener más información, haz clic aquí.","
Nous sommes fiers d'être membre de la Direct Selling Association. Pour plus d'informations, cliquez ici.","Siamo orgogliosi di essere membri dell'Associazione di vendita diretta. Per maggiori informazioni, clicca qui.","Temos orgulho de ser membros da Associação de Venda Direta (Direct Selling Association - USA). Para mais informações, clica aqui.",,,,,,
"Copyright © Younique, LLC. 2019. All Rights Reserved.","Copyright © Younique, LLC. 2019. Alle Rechte vorbehalten.","Copyright © Younique, LLC. 2019. Todos los derechos reservados.","Copyright © Younique, LLC. 2019. Tous droits réservés.","Copyright © Younique, LLC. 2019. Tutti i diritti riservati.","Copyright © Younique, LLC. 2019. All Rights Reserved.",,,,,,
